Metric,Value
RMSE,0.9309693483229925
MAE,0.7326318025588989
Precision@5,0.7405602923264312
Precision@10,0.7301724137931035
Recall@5,0.4632209667464489
Recall@10,0.5725411974313624
F1@5,0.5699425073450385
F1@10,0.6418199434202709
